titulacion;universidad;facultad;provincia;comunidad_autonoma;nota_actual;nota_anterior;nota_maxima;universidad_nota_maxima;nota_minima;universidad_nota_minima
Administración y Dirección de Empresas;Universidad de Sevilla;Facultad de Ciencias Económicas y Empresariales;Sevilla;Andalucía;11,027;10,927;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad Pablo de Olavide;Facultad de Ciencias Empresariales;Sevilla;Andalucía;10,945;11,1;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Granada;Facultad de Ciencias Económicas y Empresariales;Granada;Andalucía;10,415;10,05;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Málaga;Facultad de Ciencias Económicas y Empresariales;Málaga;Andalucía;9,326;9,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Córdoba;Facultad de Derecho y Ciencias Económicas y Empresariales;Córdoba;Andalucía;9,077;8,76;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Cádiz;Facultad de Ciencias Económicas y Empresariales. Sede en Jerez;Cádiz;Andalucía;6,708;6,4;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Almería;Facultad de Ciencias Económicas y Empresariales;Almería;Andalucía;5,731;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Jaén;Facultad de Ciencias Sociales y Jurídicas;Jaén;Andalucía;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Cádiz;Facultad de Ciencias Económicas y Empresariales. Sede en Algeciras;Cádiz;Andalucía;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Cádiz;Facultad de Ciencias Económicas y Empresariales;Cádiz;Andalucía;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
Administración y Dirección de Empresas;Universidad de Huelva;Facultad de Ciencias Empresariales y Turismo;Huelva;Andalucía;5,0;5,0;12,066;Universidad Carlos III de Madrid;;Varios
